feature,weight
your,0.7373118954961808
https,0.5368469050011899
account,0.5321267008687108
verify,0.5243968263790605
claim,0.4733003912020607
mfa,0.4529228215694199
and,0.4507080650434374
reply with,0.41470065289244806
reply,0.41470065289244806
with,0.41470065289244806
urgent,0.4128756568514421
login,0.41239105557721817
credentials,0.41232508243968113
now at,0.3874822966457299
code,0.37904902061539747
your account,0.3479665554743172
detected,0.34570567629750903
warning,0.3437703720102417
confirm your,0.3421578342631683
sync info,0.33861933862850047
